Franchise,First_Season,Division,Games_Played,Wins,Losses,Win_Pct,Pennants,WS_Titles,Active_Flag
San Francisco Giants,1883,West,21722,11663,10059,0.535,23,8,TRUE
Los Angeles Dodgers,1884,West,21722,11586,10136,0.531,26,8,TRUE
St. Louis Cardinals,1882,Central,22486,11413,11073,0.509,19,11,TRUE
Chicago Cubs,1876,Central,22222,11474,10748,0.516,17,3,TRUE
Cincinnati Reds,1882,Central,22222,11060,11162,0.498,10,5,TRUE
Atlanta Braves,1876,East,22070,11245,10825,0.504,18,4,TRUE
Pittsburgh Pirates,1882,Central,21820,10959,10861,0.501,9,5,TRUE
Philadelphia Phillies,1883,East,22222,10357,11865,0.466,8,2,TRUE
New York Mets,1962,East,9520,4899,4621,0.514,2,2,TRUE
Washington Nationals,1969,East,8230,4379,3851,0.532,0,0,TRUE
San Diego Padres,1969,West,7980,4265,3715,0.533,0,0,TRUE
Milwaukee Brewers,1969,Central,8920,4464,4456,0.503,0,0,TRUE
Colorado Rockies,1993,West,4760,2403,2357,0.505,0,0,TRUE
Miami Marlins,1993,East,4280,2435,1845,0.569,2,2,TRUE
Arizona Diamondbacks,1998,West,4160,2216,1944,0.532,1,1,TRUE
