Era,Team,Key_Trend,Championship_Wins,Consecutive_Seasons
1876-1892,Chicago White Stockings/Cubs,Founding era NL champion 3 straight (1880-82),3,3
1876-1892,Boston Beaneaters,Dominated late 1890s NL,4,4
1893-1919,Pittsburgh Pirates,Power of Dead Ball Era,2,2
1893-1919,New York Giants,Rise of NL's most famous franchise,3,3
1920-1950,St. Louis Cardinals,Emergence as NL powerhouse,1,1
1920-1950,Brooklyn Dodgers,First American migration success,1,1
1951-1969,New York Mets,Miracle Mets 1969 expansion WS champion,1,1
1951-1969,Los Angeles Dodgers,Relocation success; 3 pennants,3,3
1961-1968,Pittsburgh Pirates,Golden era with Clemente,3,3
1970-1989,Cincinnati Reds,Big Red Machine; back-to-back division titles,2,2
1970-1989,New York Mets,Golden-age NL franchise,2,2
1990-2005,Atlanta Braves,Megadynasty 14 straight division titles,5,14
1990-2005,St. Louis Cardinals,Core championship dynasty,3,3
1990-2005,Florida Marlins,Two WS titles as expansion team,2,2
1990-2005,Arizona Diamondbacks,One title in franchise history,1,1
2006-2016,St. Louis Cardinals,Resurgence; 3 titles in 7 years,3,3
2006-2016,San Francisco Giants,Three titles in 5 years,3,3
2006-2016,Philadelphia Phillies,First NL title since 1980,1,1
2006-2016,Chicago Cubs,Ended 108-year championship drought,1,1
2017-Present,Los Angeles Dodgers,8 straight NL West; 5 titles; back-to-back WS,5,8
