Year,NL_Champion,Champion_Record,Champion_WinPct,2nd_Place_Team,2nd_Place_Record,WS_Winner,WS_Loser,WS_Result,Era,Games_In_Season
1876,Chicago White Stockings,52-14,0.788,Boston Red Caps,70-37,N/A,N/A,N/A,Founding Era,70
1877,Boston Red Caps,42-18,0.700,Chicago White Stockings,52-14,N/A,N/A,N/A,Founding Era,60
1878,Boston Red Caps,41-19,0.683,Indianapolis Blues,24-36,N/A,N/A,N/A,Founding Era,60
1879,Providence Grays,59-25,0.702,Chicago White Stockings,46-31,N/A,N/A,N/A,Founding Era,84
1880,Chicago White Stockings,67-17,0.798,Providence Grays,52-29,N/A,N/A,N/A,Founding Era,84
1881,Chicago White Stockings,56-28,0.667,Providence Grays,52-28,N/A,N/A,N/A,Founding Era,84
1882,Chicago White Stockings,55-16,0.775,Providence Grays,51-21,N/A,N/A,N/A,Founding Era,84
1883,Providence Grays,58-26,0.690,Boston Beaneaters,63-35,N/A,N/A,N/A,Founding Era,98
1884,Providence Grays,84-28,0.750,New York Metropolitans,75-32,N/A,N/A,N/A,Founding Era,112
1885,Chicago White Stockings,87-25,0.777,St. Louis Maroons,79-23,N/A,N/A,N/A,Founding Era,112
1886,Chicago White Stockings,90-34,0.726,Detroit Wolverines,85-27,N/A,N/A,N/A,Founding Era,126
1887,Detroit Wolverines,79-45,0.637,Chicago White Stockings,71-50,N/A,N/A,N/A,Founding Era,126
1888,New York Giants,84-47,0.641,Boston Beaneaters,81-48,N/A,N/A,N/A,Founding Era,136
1889,New York Giants,83-43,0.659,Chicago White Stockings,67-65,N/A,N/A,N/A,Founding Era,136
1890,Boston Beaneaters,76-57,0.571,Brooklyn Ward's Wonders,76-60,N/A,N/A,N/A,Founding Era,132
1891,Boston Beaneaters,87-51,0.630,Chicago Colts,82-58,N/A,N/A,N/A,Founding Era,138
1892,Boston Beaneaters,102-48,0.680,Brooklyn Grooms,95-59,N/A,N/A,N/A,Founding Era,150
1893,Boston Beaneaters,86-43,0.667,Pittsburgh Pirates,81-60,N/A,N/A,N/A,Dead Ball Era,130
1894,Baltimore Orioles,89-39,0.695,Cleveland Spiders,84-55,N/A,N/A,N/A,Dead Ball Era,132
1895,Baltimore Orioles,87-43,0.669,Cleveland Spiders,84-54,N/A,N/A,N/A,Dead Ball Era,132
1896,Baltimore Orioles,90-39,0.698,Cincinnati Reds,77-55,N/A,N/A,N/A,Dead Ball Era,132
1897,Boston Beaneaters,93-42,0.689,Baltimore Orioles,90-38,N/A,N/A,N/A,Dead Ball Era,132
1898,Boston Beaneaters,102-47,0.685,Baltimore Orioles,96-53,N/A,N/A,N/A,Dead Ball Era,154
