Record,Franchise/Player,Value,Year,Notes
Best NL winning percentage,Chicago Cubs (1906),.763,1906,116 wins in 154 games; NL record for wins
Best 162-game NL record,Los Angeles Dodgers (2022),111-51,2022,.685 win pct in modern 162-game schedule
Best shortened NL record,Los Angeles Dodgers (2020),43-17,2020,.717 win pct in 60-game COVID season
Most NL pennants,Brooklyn/LA Dodgers,26,through 2025,Broke NL record for consecutive division titles
Most WS titles (NL),St. Louis Cardinals,11,through 2025,Most of any NL team
Most consecutive division titles,Atlanta Braves,14,1991-2005,Megadynasty across 3 NL divisions
Most all-time NL wins,San Francisco Giants,11663,through 2025,Cumulative including NY Giants years
Most all-time NL losses,Philadelphia Phillies,11865,through 2025,Longest-losingest franchise in NL
Most consecutive WS appearances,St. Louis Cardinals,5,1985-1989,Five straight WS appearances (3 titles)
Longest WS drought,Chicago Cubs,108 years,1908-2016,Ended by 2016 championship
Highest single-season run differential,St. Louis Cardinals (1914),+402,1914,Rube Marquard era
Lowest team ERA in a season,Los Angeles Dodgers (1968),1.99,1968,Alongside Cards dominant 1968 season
Most wins in a single season,Chicago Cubs (1906),116,1906,NL and major league record until 2001 Mariners
Longest pennant drought,Philadelphia Phillies,38 years,1950-1980,From last to 1980 title
